Genus,Species,Species code,Family,author citation,synonym (APG III classification),is active name,is present on plots,is present in soil samples
Amsinckia,intermedia,amin,Boraginaceae,Fisch. & C.A. Mey.,alternate: Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders,TRUE,TRUE,TRUE
Astragalus,nuttallianus,asnu,Fabaceae,A. DC.,,TRUE,TRUE,FALSE
Bowlesia,incana,boin,Apiaceae,Ruiz Lopez & Pavon,,TRUE,TRUE,TRUE
Bromus,rubens,brru,Poaceae,L.,alternate: Bromus madritensis  L.  ssp. rubens  (L.) Husnot,TRUE,TRUE,TRUE
Brassica,tournefortii,brto,Brassicaceae,Gouan,,TRUE,FALSE,TRUE
Camissonia,chamaenerioides,cach,Onagraceae,(A. Gray) Raven,active: Eremothera chamaenerioides (A. Gray) W.L. Wagner & Hoch,FALSE,TRUE,TRUE
Chorizanthe,brevicornu,chbr,Polygonaceae,Torrey,,TRUE,TRUE,TRUE
Chorizanthe,rigida,chri,Polygonaceae,(Torrey) Torrey & A. Gray,,TRUE,TRUE,FALSE
Chaenactis,stevioides,chst,Asteraceae,Hook. & Arn.,,TRUE,TRUE,TRUE
Cistanthe,monandra,cimo,Portulacaceae,(Nutt.) Hershkovitz,alternate: Calyptridium monandrum,TRUE,TRUE,TRUE
Cryptantha,angustifolia,cran,Boraginaceae,(Torrey) Greene,,TRUE,TRUE,TRUE
Cryptantha,barbigera,crba,Boraginaceae,(A. Gray) Greene,,TRUE,TRUE,TRUE
Crassula,connata,crco,Crassulaceae,Ruiz Lopez & Pavon,,TRUE,TRUE,FALSE
Cryptantha,maritima,crma,Boraginaceae,(E. Greene) E. Greene,,TRUE,FALSE,TRUE
Cryptantha,micrantha,crmi,Boraginaceae,(Torrey) I.M. Johnston,,TRUE,TRUE,TRUE
Cryptantha,nevadensis,crne,Boraginaceae,A. Nelson & Kennedy,,TRUE,TRUE,TRUE
Cryptantha,pterocarya,crpt,Boraginaceae,(Torrey)  Greene,,TRUE,TRUE,TRUE
Daucus,pusillis,dapu,Apiaceae,Michx.,,TRUE,TRUE,TRUE
Descurainia,pinnata,depi,Brassicaceae,(Walter) Britton,,TRUE,TRUE,TRUE
Draba,cuneifolia,drcu,Brassicaceae,Torrey & A. Gray,,TRUE,TRUE,TRUE
Eriogonum,abertianum,erab,Polygonaceae,Torr.,,TRUE,TRUE,FALSE
