"plot_name","latitude","longitude","species","abundance"
"BILSA",0.616667,-79.8667,"Alibertia stenantha",1
"BILSA",0.616667,-79.8667,"Anthurium dolichostachyum",1
"BILSA",0.616667,-79.8667,"Anthurium nigropunctatum",1
"BILSA",0.616667,-79.8667,"Brosimum utile",1
"BILSA",0.616667,-79.8667,"Caryodaphnopsis theobromifolia",1
"BILSA",0.616667,-79.8667,"Casearia arborea",1
"BILSA",0.616667,-79.8667,"Cecropia reticulata",2
"BILSA",0.616667,-79.8667,"Cissus neei",3
"BILSA",0.616667,-79.8667,"Cordia dwyeri",1
"BILSA",0.616667,-79.8667,"Coussapoa herthae",1
"BILSA",0.616667,-79.8667,"Coussapoa villosa",2
"BILSA",0.616667,-79.8667,"Coussarea latifolia",11
"BILSA",0.616667,-79.8667,"Discophora guianensis",1
"BILSA",0.616667,-79.8667,"Drymonia laciniosa",1
"BILSA",0.616667,-79.8667,"Faramea anisocalyx",1
"BILSA",0.616667,-79.8667,"Ficus macbridei",1
"BILSA",0.616667,-79.8667,"Grias peruviana",9
"BILSA",0.616667,-79.8667,"Guettarda crispiflora",1
"BILSA",0.616667,-79.8667,"Gurania pedata",1
"BILSA",0.616667,-79.8667,"Gurania spinulosa",2
"BILSA",0.616667,-79.8667,"Gustavia dubia",1
"BILSA",0.616667,-79.8667,"Heliconia nigripraefixa",3
"BILSA",0.616667,-79.8667,"Herrania balaensis",2
"BILSA",0.616667,-79.8667,"Inga pruriens",1
"BILSA",0.616667,-79.8667,"Maripa panamensis",1
"BILSA",0.616667,-79.8667,"Maytenus macrocarpa",1
"BILSA",0.616667,-79.8667,"Monstera dubia",1
"BILSA",0.616667,-79.8667,"Otoba novogranatensis",17
"BILSA",0.616667,-79.8667,"Pachira patinoi",1
"BILSA",0.616667,-79.8667,"Pentagonia grandiflora",2
"BILSA",0.616667,-79.8667,"Pentagonia macrophylla",4
"BILSA",0.616667,-79.8667,"Pentagonia williamsii",1
"BILSA",0.616667,-79.8667,"Perebea angustifolia",12
"BILSA",0.616667,-79.8667,"Piper augustum",5
"BILSA",0.616667,-79.8667,"Piper brachypodon",1
"BILSA",0.616667,-79.8667,"Posoqueria maxima",8
"BILSA",0.616667,-79.8667,"Poulsenia armata",3
"BILSA",0.616667,-79.8667,"Pourouma bicolor",2
"BILSA",0.616667,-79.8667,"Pouteria caimito",1
"BILSA",0.616667,-79.8667,"Pouteria gigantea",1
"BILSA",0.616667,-79.8667,"Prestoea ensiformis",5
"BILSA",0.616667,-79.8667,"Prestonia robusta",1
"BILSA",0.616667,-79.8667,"Prestonia trifida",2
"BILSA",0.616667,-79.8667,"Quararibea grandifolia",3
"BILSA",0.616667,-79.8667,"Quararibea soegengii",4
"BILSA",0.616667,-79.8667,"Schlegelia dressleri",2
"BILSA",0.616667,-79.8667,"Schlegelia sulfurea",4
"BILSA",0.616667,-79.8667,"Siparuna guianensis",2
"BILSA",0.616667,-79.8667,"Swartzia haughtii",1
"BILSA",0.616667,-79.8667,"Symphonia globulifera",1
"BILSA",0.616667,-79.8667,"Tabebuia chrysantha",1
"BILSA",0.616667,-79.8667,"Tabernaemontana columbiensis",2
"BILSA",0.616667,-79.8667,"Trema integerrima",1
"BILSA",0.616667,-79.8667,"Trichilia martiana",1
"BILSA",0.616667,-79.8667,"Vasconcellea microcarpa",1
"BILSA",0.616667,-79.8667,"Virola dixonii",5
"BILSA",0.616667,-79.8667,"Virola sebifera",1
"CALIMA",3.978,-77.079,"Abarema barbouriana",1
"CALIMA",3.978,-77.079,"Adenophora grandiflora",2
