WebName,Habitat,Location
AkatoreA,Pine forest,"Otago, New Zealand"
AkatoreB,Pine forest,"Otago, New Zealand"
Catlins,Pine forest,"Otago, New Zealand"
Berwick,Pine forest,"Otago, New Zealand"
Venlaw,Pine forest,"Otago, New Zealand"
Narrowdale,Pine forest,"Otago, New Zealand"
Blackrock,Pasture grassland,"Otago, New Zealand"
Broad,Pasture grassland,"Otago, New Zealand"
Canton,Pasture grassland,"Otago, New Zealand"
DempstersSu,Tussock grassland,"Otago, New Zealand"
DempstersAu,Tussock grassland,"Otago, New Zealand"
DempstersSp,Tussock grassland,"Otago, New Zealand"
German,Tussock grassland,"Otago, New Zealand"
Healy,Tussock grassland,"Otago, New Zealand"
LilKyeburn,Tussock grassland,"Otago, New Zealand"
Stony,Tussock grassland,"Otago, New Zealand"
SuttonSu,Tussock grassland,"Otago, New Zealand"
SuttonAu,Tussock grassland,"Otago, New Zealand"
SuttonSp,Tussock grassland,"Otago, New Zealand"
Kyeburn,Tussock grassland,"Otago, New Zealand"
NorthCol,Broadleaf forest,"Otago, New Zealand"
Powder,Broadleaf forest,"Otago, New Zealand"
Troy,Pine forest,"Maine, USA"
Martins,Pine forest,"Maine, USA"
Coweeta17,Pine forest,"North Carolina, USA"
Coweeta1,Pine forest,"North Carolina, USA"
