"x"	"y"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K"	"Mg"	"Mn"	"P"	"Zn"	"N"	"N.min."	"pH"
"1"	50	50	901.0908	0.79448	1680.02076	6.20312	135.28696	141.88128	279.12912	266.99972	1.95248	2.96948	18.465	-3.88544	4.32432
"2"	50	150	954.24884	0.66968	1503.3648	6.03148	141.80804	137.23932	280.45236	320.47864	2.2474	2.53208	21.59896	5.64388	4.37548
"3"	50	250	1114.1122	0.59516	1182.31144	6.79768	157.08784	98.69056	230.39732	445.07084	1.95484	2.24672	20.24516	-4.06408	4.347
"4"	50	350	1023.57932	0.5678	1558.02024	6.634	153.17464	98.36412	228.94676	407.75796	2.63444	2.44284	20.84232	7.89012	4.46112
"5"	50	450	1001.8848	0.39876	1242.25084	6.44428	149.25092	94.07208	202.68204	250.54028	1.86356	2.13748	16.945	8.53716	4.40128
"6"	150	50	1091.4672	0.7312	1441.97732	6.49552	173.8682	131.8928	276.501	477.32488	1.61612	2.63148	20.29812	4.38948	4.57252
"7"	150	150	1183.88368	0.34012	1111.443	5.55292	138.26784	117.12156	242.18336	300.67564	2.12696	2.15556	20.096	8.33632	4.55972
"8"	150	250	1256.14472	0.32224	1029.21028	6.28208	147.15632	104.30808	184.51472	204.25324	3.10668	2.07284	21.50216	-0.03472	4.41168
"9"	150	350	1122.32592	0.4636	1230.27116	7.17968	153.00336	110.2442	206.60872	414.72836	1.99128	2.33068	21.43224	0.05456	4.53336
"10"	150	450	1171.60152	0.31404	1126.86388	6.88668	132.56612	104.81508	172.34528	329.69304	1.68548	2.05104	18.28212	7.69104	4.555
"11"	250	50	1013.56244	1.50976	1873.07452	7.484	169.3424	174.48772	345.31828	593.44412	2.26524	4.21016	17.6616	12.43908	4.71792
"12"	250	150	1262.35264	0.4812	1189.90408	5.33012	159.76404	89.17376	206.34656	411.44096	3.04908	2.65716	16.41632	12.13188	4.2964
"13"	250	250	1357.92468	0.2354	1045.21736	4.62248	177.7166	98.93424	188.16256	120.35408	5.0856	2.51296	17.5346	9.9918	4.12084
"14"	250	350	1212.02144	0.4402	1236.22028	6.3178	167.26568	91.46908	198.46728	341.34184	2.64316	2.4642	19.22192	11.2444	4.1282
"15"	250	450	1224.3872	0.58436	1366.20084	8.605	180.59228	127.33096	193.48524	521.16892	1.70724	2.68512	18.41064	12.541	4.1576
"16"	350	50	958.60408	1.02476	1628.9744	7.39196	187.20824	166.6376	262.13736	393.69428	2.07072	3.30712	18.04436	20.04908	4.50452
