genus_species,FAMILY.,GENUS.,SPECIES.,Shade_LaminaTough,Shade_VeinTough,Sun_LaminaTough,Sun_VeinTough,SEED_DRY,LEAFTHCK_AVI,LEAFTHCK_AVD,abundance,sigma,omega,N1995
Abarema_macradenia,Fabaceae:Mim,Abarema,macradenia,,,367.4,2451.6,,,,1,0,,
Acalypha_diversifolia,Euphorbiaceae,Acalypha,diversifolia,477.86,2115.56,,,,,,530,89.6029754,3.971,530
Acalypha_macrostachya,Euphorbiaceae,Acalypha,macrostachya,196.07,1653.67,221.8,1217.1,,,,42,72.75019906,85.313,42
Adelia_triloba,Euphorbiaceae,Adelia,triloba,329.5666667,1712.8,302.85,2395.9,0.012253472,120.7037037,152.5,219,28.71058945,17.047,219
Aegiphila_panamensis,Verbenaceae,Aegiphila,panamensis,176.0625,1503.6,,,0.00115,169.5238095,,77,75.31970279,5.97,77
Alchornea_costaricensis,Euphorbiaceae,Alchornea,costaricensis,625.1,3927.8375,568.0333333,3961.383333,0.019603333,155,171.6666667,226,500,7.62,227
Alchornea_latifolia,Euphorbiaceae,Alchornea,latifolia,,,,,,,,2,47.66407028,0,2
Alibertia_edulis,Rubiaceae,Alibertia,edulis,487.8461538,2859.623077,,,0.01232,164.8484848,,379,75.88145216,2.598,379
Allophylus_psilospermus,Sapindaceae,Allophylus,psilospermus,341.6,1980.933333,,,0.031092,135.462963,,122,64.68849568,,
Alseis_blackiana,Rubiaceae,Alseis,blackiana,298.8647059,1949.558824,246.225,2315.4,,,,8171,27.24362389,1.739,8171
Amaioua_corymbosa,Rubiaceae,Amaioua,corymbosa,690.7833333,3309.9,,,0.006433,179.25,,30,39.06003546,50.45,30
Anacardium_excelsum,Anacardiaceae,Anacardium,excelsum,584.0333333,4218.188889,641.7071429,5098.907143,1.57281,164.1666667,236.1904762,25,500,10.588,25
Anaxagorea_panamensis,Annonaceae,Anaxagorea,panamensis,364.07,2760.84,,,0.053119565,204,,699,10.67396719,313.47,699
Andira_inermis,Fabaceae:Pap,Andira,inermis,561.4411765,3328.917647,348.825,2552.3,0.538836,136.1111111,207.5,302,86.32667517,1.279,301
Annona_acuminata,Annonaceae,Annona,acuminata,390.225,2827.5875,398.925,2679.9,0.0303575,172.0833333,173.75,543,18.32023697,6.098,543
Annona_spraguei,Annonaceae,Annona,spraguei,291.8,2946.7,380.8833333,2378.966667,0.025705,128.75,215,177,54.77206556,22.077,177
Apeiba_tibourbou,Malvaceae,Apeiba,tibourbou,317.2666667,1965.35,305.1125,2302.45,0.001793,237.5,291.4583333,29,500,7.647,29
Apeiba_membranacea,Malvaceae,Apeiba,membranacea,236.8,1934.35,826.5333333,3067.525,0.004113,158.6111111,266,292,46.22636453,1.675,292
Aphelandra_sinclairiana,Acanthaceae,Aphelandra,sinclairiana,242.5166667,1721.983333,,,,,,7,500,0,7
Ardisia_fendleri,Primulaceae,Ardisia,fendleri,378.8388889,2887.088889,,,0.02033,236.7424242,,88,34.63524676,19.68,88
Ardisia_bartletii,Primulaceae,Ardisia,bartletii,372.675,2076.4625,,,0.025413043,225.5,,3,23.03624315,,
Ardisia_guianensis,Primulaceae,Ardisia,guianensis,355.025,3037.55,,,,,,19,17.77343483,149.9,19
Aspidosperma_spruceanum,Apocynaceae,Aspidosperma,spruceanum,648.6363636,4450.081818,715.13,4013.58,0.45142375,273.3333333,346.6666667,474,57.53405696,,
Astrocaryum_standleyanum,Arecaceae,Astrocaryum,standleyanum,369.7,2110.15,,,2.56498,90,,205,164.6093142,2.402,205
